Intervalle : [0//1 , 3//1186]
Intervalle : [3//52 , 5//86]

Intervalle : [5//86 , 1//17]

Intervalle : [1//17 , 5//84]

Intervalle : [5//84 , 4//67]

Intervalle : [4//67 , 3//50]

Intervalle : [3//50 , 2//33]

Intervalle : [2//33 , 4//65]

Intervalle : [4//65 , 1//16]

Intervalle : [1//16 , 6//95]

Intervalle : [6//95 , 4//63]

Intervalle : [4//63 , 3//47]

Intervalle : [3//47 , 5//78]

Intervalle : [5//78 , 2//31]

Intervalle : [2//31 , 5//77]

Intervalle : [5//77 , 3//46]

Intervalle : [3//46 , 4//61]

Intervalle : [4//61 , 5//76]

Intervalle : [5//76 , 1//15]

Intervalle : [1//15 , 4//59]

Intervalle : [4//59 , 7//103]

Intervalle : [7//103 , 3//44]

Intervalle : [3//44 , 2//29]

Intervalle : [2//29 , 7//101]

Intervalle : [7//101 , 3//43]

Intervalle : [3//43 , 4//57]

Intervalle : [4//57 , 1//14]

Intervalle : [1//14 , 6//83]

Intervalle : [6//83 , 4//55]

Intervalle : [4//55 , 3//41]

Intervalle : [3//41 , 5//67]

Intervalle : [5//67 , 3//40]

Intervalle : [3//40 , 6//79]

Intervalle : [6//79 , 1//13]

Intervalle : [1//13 , 6//77]

Intervalle : [6//77 , 5//64]

Intervalle : [5//64 , 3//38]

Intervalle : [3//38 , 5//63]

Intervalle : [5//63 , 7//88]

Intervalle : [7//88 , 2//25]

Intervalle : [2//25 , 5//62]

Intervalle : [5//62 , 4//49]

Intervalle : [4//49 , 7//85]

Intervalle : [7//85 , 1//12]

Intervalle : [1//12 , 7//83]

Intervalle : [7//83 , 6//71]

Intervalle : [6//71 , 5//59]

Intervalle : [5//59 , 4//47]

Intervalle : [4//47 , 3//35]

Intervalle : [3//35 , 2//23]

Intervalle : [2//23 , 5//57]

Intervalle : [5//57 , 8//91]

Intervalle : [8//91 , 3//34]

Intervalle : [3//34 , 4//45]

Intervalle : [4//45 , 5//56]

Intervalle : [5//56 , 6//67]

Intervalle : [6//67 , 7//78]

Intervalle : [7//78 , 9//100]

Intervalle : [9//100 , 1//11]

Intervalle : [1//11 , 7//76]

Intervalle : [7//76 , 6//65]

Intervalle : [6//65 , 5//54]

Intervalle : [5//54 , 4//43]

Intervalle : [4//43 , 3//32]

Intervalle : [3//32 , 5//53]

Intervalle : [5//53 , 2//21]

Intervalle : [2//21 , 3//31]

Intervalle : [3//31 , 7//72]

Intervalle : [7//72 , 4//41]

Intervalle : [4//41 , 9//92]

Intervalle : [9//92 , 6//61]

Intervalle : [6//61 , 8//81]

Intervalle : [8//81 , 1//10]

Intervalle : [1//10 , 5//49]

Intervalle : [5//49 , 4//39]

Intervalle : [4//39 , 11//107]

Intervalle : [11//107 , 3//29]

Intervalle : [3//29 , 8//77]

Intervalle : [8//77 , 2//19]

Intervalle : [2//19 , 11//104]

Intervalle : [11//104 , 9//85]

Intervalle : [9//85 , 5//47]

Intervalle : [5//47 , 3//28]

Intervalle : [3//28 , 4//37]

Intervalle : [4//37 , 7//64]

Intervalle : [7//64 , 8//73]

Intervalle : [8//73 , 1//9]

Intervalle : [1//9 , 9//80]

Intervalle : [9//80 , 7//62]

Intervalle : [7//62 , 6//53]

Intervalle : [6//53 , 9//79]

Intervalle : [9//79 , 4//35]

Intervalle : [4//35 , 11//96]

Intervalle : [11//96 , 7//61]

Intervalle : [7//61 , 3//26]

Intervalle : [3//26 , 8//69]

Intervalle : [8//69 , 5//43]

Intervalle : [5//43 , 9//77]

Intervalle : [9//77 , 2//17]

Intervalle : [2//17 , 7//59]

Intervalle : [7//59 , 5//42]

Intervalle : [5//42 , 13//109]

Intervalle : [13//109 , 8//67]

Intervalle : [8//67 , 3//25]

Intervalle : [3//25 , 13//108]

Intervalle : [13//108 , 10//83]

Intervalle : [10//83 , 4//33]

Intervalle : [4//33 , 13//107]

Intervalle : [13//107 , 5//41]

Intervalle : [5//41 , 11//90]

Intervalle : [11//90 , 6//49]

Intervalle : [6//49 , 13//106]

Intervalle : [13//106 , 7//57]

Intervalle : [7//57 , 8//65]

Intervalle : [8//65 , 10//81]

Intervalle : [10//81 , 13//105]

Intervalle : [13//105 , 1//8]

Intervalle : [1//8 , 12//95]

Intervalle : [12//95 , 11//87]

Intervalle : [11//87 , 8//63]

Intervalle : [8//63 , 11//86]

Intervalle : [11//86 , 4//31]

Intervalle : [4//31 , 7//54]

Intervalle : [7//54 , 10//77]

Intervalle : [10//77 , 3//23]

Intervalle : [3//23 , 8//61]

Intervalle : [8//61 , 5//38]

Intervalle : [5//38 , 12//91]

Intervalle : [12//91 , 7//53]

Intervalle : [7//53 , 9//68]

Intervalle : [9//68 , 13//98]

Intervalle : [13//98 , 15//113]

Intervalle : [15//113 , 2//15]

Intervalle : [2//15 , 11//82]

Intervalle : [11//82 , 9//67]

Intervalle : [9//67 , 7//52]

Intervalle : [7//52 , 5//37]

Intervalle : [5//37 , 8//59]

Intervalle : [8//59 , 3//22]

Intervalle : [3//22 , 10//73]

Intervalle : [10//73 , 4//29]

Intervalle : [4//29 , 14//101]

Intervalle : [14//101 , 5//36]

Intervalle : [5//36 , 11//79]

Intervalle : [11//79 , 6//43]

Intervalle : [6//43 , 7//50]

Intervalle : [7//50 , 8//57]

Intervalle : [8//57 , 9//64]

Intervalle : [9//64 , 10//71]

Intervalle : [10//71 , 11//78]

Intervalle : [11//78 , 12//85]

Intervalle : [12//85 , 1//7]

Intervalle : [1//7 , 14//97]

Intervalle : [14//97 , 13//90]

Intervalle : [13//90 , 11//76]

Intervalle : [11//76 , 10//69]

Intervalle : [10//69 , 9//62]

Intervalle : [9//62 , 7//48]

Intervalle : [7//48 , 6//41]

Intervalle : [6//41 , 11//75]

Intervalle : [11//75 , 5//34]

Intervalle : [5//34 , 13//88]

Intervalle : [13//88 , 17//115]

Intervalle : [17//115 , 4//27]

Intervalle : [4//27 , 15//101]

Intervalle : [15//101 , 7//47]

Intervalle : [7//47 , 13//87]

Intervalle : [13//87 , 3//20]

Intervalle : [3//20 , 14//93]

Intervalle : [14//93 , 11//73]

Intervalle : [11//73 , 8//53]

Intervalle : [8//53 , 5//33]

Intervalle : [5//33 , 12//79]

Intervalle : [12//79 , 7//46]

Intervalle : [7//46 , 9//59]

Intervalle : [9//59 , 2//13]

Intervalle : [2//13 , 17//110]

Intervalle : [17//110 , 11//71]

Intervalle : [11//71 , 7//45]

Intervalle : [7//45 , 17//109]

Intervalle : [17//109 , 5//32]

Intervalle : [5//32 , 8//51]

Intervalle : [8//51 , 3//19]

Intervalle : [3//19 , 10//63]

Intervalle : [10//63 , 7//44]

Intervalle : [7//44 , 11//69]

Intervalle : [11//69 , 4//25]

Intervalle : [4//25 , 13//81]

Intervalle : [13//81 , 5//31]

Intervalle : [5//31 , 11//68]

Intervalle : [11//68 , 6//37]

Intervalle : [6//37 , 7//43]

Intervalle : [7//43 , 15//92]

Intervalle : [15//92 , 8//49]

Intervalle : [8//49 , 9//55]

Intervalle : [9//55 , 10//61]

Intervalle : [10//61 , 12//73]

Intervalle : [12//73 , 13//79]

Intervalle : [13//79 , 14//85]

Intervalle : [14//85 , 1//6]

Intervalle : [1//6 , 15//89]

Intervalle : [15//89 , 14//83]

Intervalle : [14//83 , 13//77]

Intervalle : [13//77 , 12//71]

Intervalle : [12//71 , 10//59]

Intervalle : [10//59 , 8//47]

Intervalle : [8//47 , 15//88]

Intervalle : [15//88 , 7//41]

Intervalle : [7//41 , 20//117]

Intervalle : [20//117 , 19//111]

Intervalle : [19//111 , 6//35]

Intervalle : [6//35 , 17//99]

Intervalle : [17//99 , 11//64]

Intervalle : [11//64 , 5//29]

Intervalle : [5//29 , 19//110]

Intervalle : [19//110 , 9//52]

Intervalle : [9//52 , 17//98]

Intervalle : [17//98 , 4//23]

Intervalle : [4//23 , 7//40]

Intervalle : [7//40 , 13//74]

Intervalle : [13//74 , 16//91]

Intervalle : [16//91 , 19//108]

Intervalle : [19//108 , 3//17]

Intervalle : [3//17 , 14//79]

Intervalle : [14//79 , 8//45]

Intervalle : [8//45 , 13//73]

Intervalle : [13//73 , 5//28]

Intervalle : [5//28 , 7//39]

Intervalle : [7//39 , 16//89]

Intervalle : [16//89 , 9//50]

Intervalle : [9//50 , 11//61]

Intervalle : [11//61 , 13//72]

Intervalle : [13//72 , 15//83]

Intervalle : [15//83 , 2//11]

Intervalle : [2//11 , 19//104]

Intervalle : [19//104 , 13//71]

Intervalle : [13//71 , 11//60]

Intervalle : [11//60 , 9//49]

Intervalle : [9//49 , 7//38]

Intervalle : [7//38 , 12//65]

Intervalle : [12//65 , 5//27]

Intervalle : [5//27 , 18//97]

Intervalle : [18//97 , 8//43]

Intervalle : [8//43 , 11//59]

Intervalle : [11//59 , 3//16]

Intervalle : [3//16 , 22//117]

Intervalle : [22//117 , 16//85]

Intervalle : [16//85 , 13//69]

Intervalle : [13//69 , 10//53]

Intervalle : [10//53 , 17//90]

Intervalle : [17//90 , 7//37]

Intervalle : [7//37 , 11//58]

Intervalle : [11//58 , 15//79]

Intervalle : [15//79 , 19//100]

Intervalle : [19//100 , 4//21]

Intervalle : [4//21 , 17//89]

Intervalle : [17//89 , 9//47]

Intervalle : [9//47 , 19//99]

Intervalle : [19//99 , 5//26]

Intervalle : [5//26 , 16//83]

Intervalle : [16//83 , 11//57]

Intervalle : [11//57 , 6//31]

Intervalle : [6//31 , 13//67]

Intervalle : [13//67 , 7//36]

Intervalle : [7//36 , 23//118]

Intervalle : [23//118 , 17//87]

Intervalle : [17//87 , 9//46]

Intervalle : [9//46 , 10//51]

Intervalle : [10//51 , 14//71]

Intervalle : [14//71 , 17//86]

Intervalle : [17//86 , 19//96]

Intervalle : [19//96 , 22//111]

Intervalle : [22//111 , 1//5]

Intervalle : [1//5 , 21//104]

Intervalle : [21//104 , 15//74]

Intervalle : [15//74 , 14//69]

Intervalle : [14//69 , 13//64]

Intervalle : [13//64 , 12//59]

Intervalle : [12//59 , 23//113]

Intervalle : [23//113 , 21//103]

Intervalle : [21//103 , 19//93]

Intervalle : [19//93 , 9//44]

Intervalle : [9//44 , 8//39]

Intervalle : [8//39 , 15//73]

Intervalle : [15//73 , 7//34]

Intervalle : [7//34 , 20//97]

Intervalle : [20//97 , 6//29]

Intervalle : [6//29 , 5//24]

Intervalle : [5//24 , 14//67]

Intervalle : [14//67 , 23//110]

Intervalle : [23//110 , 9//43]

Intervalle : [9//43 , 4//19]

Intervalle : [4//19 , 23//109]

Intervalle : [23//109 , 15//71]

Intervalle : [15//71 , 11//52]

Intervalle : [11//52 , 7//33]

Intervalle : [7//33 , 17//80]

Intervalle : [17//80 , 10//47]

Intervalle : [10//47 , 13//61]

Intervalle : [13//61 , 25//117]

Intervalle : [25//117 , 3//14]

Intervalle : [3//14 , 23//107]

Intervalle : [23//107 , 20//93]

Intervalle : [20//93 , 8//37]

Intervalle : [8//37 , 13//60]

Intervalle : [13//60 , 18//83]

Intervalle : [18//83 , 5//23]

Intervalle : [5//23 , 17//78]

Intervalle : [17//78 , 12//55]

Intervalle : [12//55 , 26//119]

Intervalle : [26//119 , 7//32]

Intervalle : [7//32 , 9//41]

Intervalle : [9//41 , 11//50]

Intervalle : [11//50 , 15//68]

Intervalle : [15//68 , 17//77]

Intervalle : [17//77 , 23//104]

Intervalle : [23//104 , 2//9]

Intervalle : [2//9 , 27//121]

Intervalle : [27//121 , 25//112]

Intervalle : [25//112 , 21//94]

Intervalle : [21//94 , 19//85]

Intervalle : [19//85 , 17//76]

Intervalle : [17//76 , 11//49]

Intervalle : [11//49 , 20//89]

Intervalle : [20//89 , 9//40]

Intervalle : [9//40 , 16//71]

Intervalle : [16//71 , 7//31]

Intervalle : [7//31 , 26//115]

Intervalle : [26//115 , 19//84]

Intervalle : [19//84 , 22//97]

Intervalle : [22//97 , 27//119]

Intervalle : [27//119 , 5//22]

Intervalle : [5//22 , 13//57]

Intervalle : [13//57 , 8//35]

Intervalle : [8//35 , 11//48]

Intervalle : [11//48 , 25//109]

Intervalle : [25//109 , 14//61]

Intervalle : [14//61 , 17//74]

Intervalle : [17//74 , 3//13]

Intervalle : [3//13 , 25//108]

Intervalle : [25//108 , 16//69]

Intervalle : [16//69 , 10//43]

Intervalle : [10//43 , 7//30]

Intervalle : [7//30 , 18//77]

Intervalle : [18//77 , 11//47]

Intervalle : [11//47 , 26//111]

Intervalle : [26//111 , 15//64]

Intervalle : [15//64 , 23//98]

Intervalle : [23//98 , 4//17]

Intervalle : [4//17 , 17//72]

Intervalle : [17//72 , 13//55]

Intervalle : [13//55 , 9//38]

Intervalle : [9//38 , 14//59]

Intervalle : [14//59 , 19//80]

Intervalle : [19//80 , 24//101]

Intervalle : [24//101 , 5//21]

Intervalle : [5//21 , 26//109]

Intervalle : [26//109 , 23//96]

Intervalle : [23//96 , 6//25]

Intervalle : [6//25 , 13//54]

Intervalle : [13//54 , 20//83]

Intervalle : [20//83 , 7//29]

Intervalle : [7//29 , 15//62]

Intervalle : [15//62 , 8//33]

Intervalle : [8//33 , 9//37]

Intervalle : [9//37 , 28//115]

Intervalle : [28//115 , 10//41]

Intervalle : [10//41 , 12//49]

Intervalle : [12//49 , 13//53]

Intervalle : [13//53 , 14//57]

Intervalle : [14//57 , 29//118]

Intervalle : [29//118 , 15//61]

Intervalle : [15//61 , 21//85]

Intervalle : [21//85 , 24//97]

Intervalle : [24//97 , 26//105]

Intervalle : [26//105 , 1//4]

Intervalle : [1//4 , 26//103]

Intervalle : [26//103 , 20//79]

Intervalle : [20//79 , 19//75]

Intervalle : [19//75 , 18//71]

Intervalle : [18//71 , 17//67]

Intervalle : [17//67 , 15//59]

Intervalle : [15//59 , 14//55]

Intervalle : [14//55 , 13//51]

Intervalle : [13//51 , 25//98]

Intervalle : [25//98 , 12//47]

Intervalle : [12//47 , 11//43]

Intervalle : [11//43 , 21//82]

Intervalle : [21//82 , 9//35]

Intervalle : [9//35 , 25//97]

Intervalle : [25//97 , 8//31]

Intervalle : [8//31 , 23//89]

Intervalle : [23//89 , 7//27]

Intervalle : [7//27 , 6//23]

Intervalle : [6//23 , 17//65]

Intervalle : [17//65 , 28//107]

Intervalle : [28//107 , 5//19]

Intervalle : [5//19 , 29//110]

Intervalle : [29//110 , 9//34]

Intervalle : [9//34 , 17//64]

Intervalle : [17//64 , 29//109]

Intervalle : [29//109 , 4//15]

Intervalle : [4//15 , 19//71]

Intervalle : [19//71 , 15//56]

Intervalle : [15//56 , 11//41]

Intervalle : [11//41 , 18//67]

Intervalle : [18//67 , 7//26]

Intervalle : [7//26 , 10//37]

Intervalle : [10//37 , 23//85]

Intervalle : [23//85 , 13//48]

Intervalle : [13//48 , 16//59]

Intervalle : [16//59 , 19//70]

Intervalle : [19//70 , 22//81]

Intervalle : [22//81 , 3//11]

Intervalle : [3//11 , 32//117]

Intervalle : [32//117 , 17//62]

Intervalle : [17//62 , 31//113]

Intervalle : [31//113 , 14//51]

Intervalle : [14//51 , 25//91]

Intervalle : [25//91 , 11//40]

Intervalle : [11//40 , 19//69]

Intervalle : [19//69 , 27//98]

Intervalle : [27//98 , 8//29]

Intervalle : [8//29 , 21//76]

Intervalle : [21//76 , 34//123]

Intervalle : [34//123 , 28//101]

Intervalle : [28//101 , 5//18]

Intervalle : [5//18 , 32//115]

Intervalle : [32//115 , 27//97]

Intervalle : [27//97 , 17//61]

Intervalle : [17//61 , 12//43]

Intervalle : [12//43 , 19//68]

Intervalle : [19//68 , 26//93]

Intervalle : [26//93 , 9//32]

Intervalle : [9//32 , 11//39]

Intervalle : [11//39 , 13//46]

Intervalle : [13//46 , 17//60]

Intervalle : [17//60 , 19//67]

Intervalle : [19//67 , 23//81]

Intervalle : [23//81 , 25//88]

Intervalle : [25//88 , 2//7]

Intervalle : [2//7 , 31//108]

Intervalle : [31//108 , 29//101]

Intervalle : [29//101 , 23//80]

Intervalle : [23//80 , 17//59]

Intervalle : [17//59 , 13//45]

Intervalle : [13//45 , 11//38]

Intervalle : [11//38 , 29//100]

Intervalle : [29//100 , 9//31]

Intervalle : [9//31 , 34//117]

Intervalle : [34//117 , 16//55]

Intervalle : [16//55 , 30//103]

Intervalle : [30//103 , 7//24]

Intervalle : [7//24 , 31//106]

Intervalle : [31//106 , 12//41]

Intervalle : [12//41 , 22//75]

Intervalle : [22//75 , 37//126]

Intervalle : [37//126 , 5//17]

Intervalle : [5//17 , 18//61]

Intervalle : [18//61 , 13//44]

Intervalle : [13//44 , 21//71]

Intervalle : [21//71 , 29//98]

Intervalle : [29//98 , 8//27]

Intervalle : [8//27 , 30//101]

Intervalle : [30//101 , 11//37]

Intervalle : [11//37 , 36//121]

Intervalle : [36//121 , 14//47]

Intervalle : [14//47 , 31//104]

Intervalle : [31//104 , 17//57]

Intervalle : [17//57 , 20//67]

Intervalle : [20//67 , 3//10]

Intervalle : [3//10 , 34//113]

Intervalle : [34//113 , 28//93]

Intervalle : [28//93 , 16//53]

Intervalle : [16//53 , 29//96]

Intervalle : [29//96 , 10//33]

Intervalle : [10//33 , 27//89]

Intervalle : [27//89 , 17//56]

Intervalle : [17//56 , 7//23]

Intervalle : [7//23 , 18//59]

Intervalle : [18//59 , 11//36]

Intervalle : [11//36 , 26//85]

Intervalle : [26//85 , 34//111]

Intervalle : [34//111 , 19//62]

Intervalle : [19//62 , 27//88]

Intervalle : [27//88 , 4//13]

Intervalle : [4//13 , 29//94]

Intervalle : [29//94 , 30//97]

Intervalle : [30//97 , 13//42]

Intervalle : [13//42 , 31//100]

Intervalle : [31//100 , 14//45]

Intervalle : [14//45 , 19//61]

Intervalle : [19//61 , 29//93]

Intervalle : [29//93 , 34//109]

Intervalle : [34//109 , 5//16]

Intervalle : [5//16 , 41//131]

Intervalle : [41//131 , 21//67]

Intervalle : [21//67 , 11//35]

Intervalle : [11//35 , 28//89]

Intervalle : [28//89 , 29//92]

Intervalle : [29//92 , 6//19]

Intervalle : [6//19 , 32//101]

Intervalle : [32//101 , 13//41]

Intervalle : [13//41 , 27//85]

Intervalle : [27//85 , 7//22]

Intervalle : [7//22 , 22//69]

Intervalle : [22//69 , 15//47]

Intervalle : [15//47 , 8//25]

Intervalle : [8//25 , 33//103]

Intervalle : [33//103 , 17//53]

Intervalle : [17//53 , 26//81]

Intervalle : [26//81 , 9//28]

Intervalle : [9//28 , 29//90]

Intervalle : [29//90 , 10//31]

Intervalle : [10//31 , 21//65]

Intervalle : [21//65 , 32//99]

Intervalle : [32//99 , 11//34]

Intervalle : [11//34 , 35//108]

Intervalle : [35//108 , 12//37]

Intervalle : [12//37 , 25//77]

Intervalle : [25//77 , 13//40]

Intervalle : [13//40 , 27//83]

Intervalle : [27//83 , 14//43]

Intervalle : [14//43 , 44//135]

Intervalle : [44//135 , 15//46]

Intervalle : [15//46 , 17//52]

Intervalle : [17//52 , 18//55]

Intervalle : [18//55 , 37//113]

Intervalle : [37//113 , 19//58]

Intervalle : [19//58 , 43//131]

Intervalle : [43//131 , 22//67]

Intervalle : [22//67 , 25//76]

Intervalle : [25//76 , 27//82]

Intervalle : [27//82 , 28//85]

Intervalle : [28//85 , 29//88]

Intervalle : [29//88 , 30//91]

Intervalle : [30//91 , 32//97]

Intervalle : [32//97 , 33//100]

Intervalle : [33//100 , 39//118]

Intervalle : [39//118 , 46//139]

Intervalle : [46//139 , 1//3]

Intervalle : [1//3 , 43//128]

Intervalle : [43//128 , 34//101]

Intervalle : [34//101 , 31//92]

Intervalle : [31//92 , 26//77]

Intervalle : [26//77 , 21//62]

Intervalle : [21//62 , 20//59]

Intervalle : [20//59 , 19//56]

Intervalle : [19//56 , 33//97]

Intervalle : [33//97 , 16//47]

Intervalle : [16//47 , 14//41]

Intervalle : [14//41 , 13//38]

Intervalle : [13//38 , 12//35]

Intervalle : [12//35 , 23//67]

Intervalle : [23//67 , 11//32]

Intervalle : [11//32 , 32//93]

Intervalle : [32//93 , 21//61]

Intervalle : [21//61 , 31//90]

Intervalle : [31//90 , 10//29]

Intervalle : [10//29 , 29//84]

Intervalle : [29//84 , 19//55]

Intervalle : [19//55 , 9//26]

Intervalle : [9//26 , 26//75]

Intervalle : [26//75 , 17//49]

Intervalle : [17//49 , 25//72]

Intervalle : [25//72 , 33//95]

Intervalle : [33//95 , 8//23]

Intervalle : [8//23 , 23//66]

Intervalle : [23//66 , 15//43]

Intervalle : [15//43 , 7//20]

Intervalle : [7//20 , 20//57]

Intervalle : [20//57 , 13//37]

Intervalle : [13//37 , 32//91]

Intervalle : [32//91 , 6//17]

Intervalle : [6//17 , 41//116]

Intervalle : [41//116 , 35//99]

Intervalle : [35//99 , 17//48]

Intervalle : [17//48 , 11//31]

Intervalle : [11//31 , 27//76]

Intervalle : [27//76 , 16//45]

Intervalle : [16//45 , 36//101]

Intervalle : [36//101 , 5//14]

Intervalle : [5//14 , 29//81]

Intervalle : [29//81 , 24//67]

Intervalle : [24//67 , 19//53]

Intervalle : [19//53 , 14//39]

Intervalle : [14//39 , 23//64]

Intervalle : [23//64 , 22//61]

Intervalle : [22//61 , 13//36]

Intervalle : [13//36 , 17//47]

Intervalle : [17//47 , 21//58]

Intervalle : [21//58 , 4//11]

Intervalle : [4//11 , 43//118]

Intervalle : [43//118 , 35//96]

Intervalle : [35//96 , 31//85]

Intervalle : [31//85 , 15//41]

Intervalle : [15//41 , 41//112]

Intervalle : [41//112 , 11//30]

Intervalle : [11//30 , 7//19]

Intervalle : [7//19 , 24//65]

Intervalle : [24//65 , 10//27]

Intervalle : [10//27 , 53//143]

Intervalle : [53//143 , 23//62]

Intervalle : [23//62 , 13//35]

Intervalle : [13//35 , 55//148]

Intervalle : [55//148 , 16//43]

Intervalle : [16//43 , 28//75]

Intervalle : [28//75 , 37//99]

Intervalle : [37//99 , 3//8]

Intervalle : [3//8 , 29//77]

Intervalle : [29//77 , 26//69]

Intervalle : [26//69 , 23//61]

Intervalle : [23//61 , 20//53]

Intervalle : [20//53 , 17//45]

Intervalle : [17//45 , 31//82]

Intervalle : [31//82 , 14//37]

Intervalle : [14//37 , 25//66]

Intervalle : [25//66 , 36//95]

Intervalle : [36//95 , 11//29]

Intervalle : [11//29 , 30//79]

Intervalle : [30//79 , 8//21]

Intervalle : [8//21 , 21//55]

Intervalle : [21//55 , 18//47]

Intervalle : [18//47 , 28//73]

Intervalle : [28//73 , 33//86]

Intervalle : [33//86 , 5//13]

Intervalle : [5//13 , 42//109]

Intervalle : [42//109 , 32//83]

Intervalle : [32//83 , 22//57]

Intervalle : [22//57 , 12//31]

Intervalle : [12//31 , 31//80]

Intervalle : [31//80 , 19//49]

Intervalle : [19//49 , 26//67]

Intervalle : [26//67 , 7//18]

Intervalle : [7//18 , 23//59]

Intervalle : [23//59 , 39//100]

Intervalle : [39//100 , 16//41]

Intervalle : [16//41 , 41//105]

Intervalle : [41//105 , 9//23]

